idTeam,"name",rank,"confederation",year
43948,"Germany",1,"UEFA",1992
43954,"Italy",2,"UEFA",1992
43924,"Brazil",3,"CONMEBOL",1992
43970,"Sweden",4,"UEFA",1992
43942,"England",5,"UEFA",1992
43953,"Republic of Ireland",6,"UEFA",1992
43960,"Netherlands",7,"UEFA",1992
43965,"Russia",8,"UEFA",1992
43941,"Denmark",9,"UEFA",1992
43922,"Argentina",10,"CONMEBOL",1992
43964,"Romania",11,"UEFA",1992
43971,"Switzerland",12,"UEFA",1992
43876,"Nigeria",13,"CAF",1992
43961,"Norway",14,"UEFA",1992
43969,"Spain",15,"UEFA",1992
43930,"Uruguay",16,"CONMEBOL",1992
43935,"Belgium",17,"UEFA",1992
44025,"Czechoslovakia",18,"UEFA",1992
43946,"France",19,"UEFA",1992
43962,"Poland",20,"UEFA",1992
43855,"Egypt",21,"CAF",1992
43849,"Cameroon",22,"CAF",1992
43967,"Scotland",23,"UEFA",1992
43921,"USA",24,"CONCACAF",1992
43911,"Mexico",25,"CONCACAF",1992
43936,"Bulgaria",26,"UEFA",1992
43854,"Côte d'Ivoire",27,"CAF",1992
43974,"Wales",28,"UEFA",1992
43975,"Yugoslavia",29,"UEFA",1992
43843,"Algeria",30,"CAF",1992
43949,"Greece",31,"UEFA",1992
43891,"Zambia",32,"CAF",1992
43963,"Portugal",33,"UEFA",1992
43934,"Austria",34,"UEFA",1992
43926,"Colombia",35,"CONMEBOL",1992
43950,"Hungary",36,"UEFA",1992
43901,"Costa Rica",37,"CONCACAF",1992
43888,"Tunisia",38,"CAF",1992
43860,"Ghana",39,"CAF",1992
43909,"Honduras",40,"CONCACAF",1992
43872,"Morocco",41,"CAF",1992
43972,"Turkey",42,"UEFA",1992
43952,"Northern Ireland",43,"UEFA",1992
43945,"Finland",44,"UEFA",1992
43976,"Australia",45,"AFC",1992
43951,"Iceland",46,"UEFA",1992
43925,"Chile",47,"CONMEBOL",1992
43835,"Saudi Arabia",48,"AFC",1992
43822,"Korea Republic",49,"AFC",1992
43904,"El Salvador",50,"CONCACAF",1992
43879,"Senegal",51,"CAF",1992
43834,"Qatar",52,"AFC",1992
43868,"Malawi",53,"CAF",1992
43892,"Zimbabwe",54,"CAF",1992
43858,"Gabon",55,"CAF",1992
43812,"China PR",56,"AFC",1992
43899,"Canada",57,"CONCACAF",1992
43898,"Bermuda",58,"CONCACAF",1992
43840,"United Arab Emirates",59,"AFC",1992
43890,"Zaire",60,"CAF",1992
43817,"IR Iran",61,"AFC",1992
43920,"Trinidad and Tobago",62,"CONCACAF",1992
43861,"Guinea",63,"CAF",1992
43984,"Israel",64,"UEFA",1992
43927,"Ecuador",65,"CONMEBOL",1992
43819,"Japan",66,"AFC",1992
43910,"Jamaica",67,"CONCACAF",1992
43928,"Paraguay",68,"CONMEBOL",1992
43869,"Mali",69,"CAF",1992
43978,"New Zealand",70,"OFC",1992
43823,"Kuwait",71,"AFC",1992
43939,"Cyprus",72,"UEFA",1992
43959,"Malta",73,"UEFA",1992
43867,"Madagascar",74,"CAF",1992
43839,"Thailand",75,"AFC",1992
43863,"Kenya",76,"CAF",1992
43821,"Korea DPR",77,"AFC",1992
43929,"Peru",78,"CONMEBOL",1992
43881,"Sierra Leone",79,"CAF",1992
43886,"Tanzania",80,"CAF",1992
43875,"Niger",81,"CAF",1992
43818,"Iraq",82,"AFC",1992
43906,"Guatemala",83,"CONCACAF",1992
43865,"Liberia",84,"CAF",1992
43857,"Ethiopia",85,"CAF",1992
43932,"Albania",86,"UEFA",1992
43923,"Bolivia",87,"CONMEBOL",1992
43808,"Bahrain",88,"AFC",1992
43836,"Singapore",89,"AFC",1992
43853,"Congo",90,"CAF",1992
43827,"Malaysia",91,"AFC",1992
43889,"Uganda",92,"CAF",1992
43957,"Lithuania",93,"UEFA",1992
43944,"Faroe Islands",94,"UEFA",1992
43919,"Suriname",95,"CONCACAF",1992
43838,"Syria",96,"AFC",1992
43847,"Burkina Faso",97,"CAF",1992
43955,"Latvia",99,"UEFA",1992
43848,"Burundi",100,"CAF",1992
43887,"Togo",101,"CAF",1992
43844,"Angola",102,"CAF",1992
43958,"Luxembourg",103,"UEFA",1992
43885,"Eswatini",104,"CAF",1992
43918,"St. Vincent and the Grenadines",105,"CONCACAF",1992
43977,"Fiji",106,"OFC",1992
43873,"Mozambique",107,"CAF",1992
43816,"Indonesia",108,"AFC",1992
1882218,"Antigua and Barbuda",109,"CONCACAF",1992
43820,"Jordan",110,"AFC",1992
43884,"Sudan",111,"CAF",1992
43871,"Mauritius",112,"CAF",1992
43938,"Croatia",113,"UEFA",1992
43896,"Barbados",114,"CONCACAF",1992
43842,"Yemen",115,"AFC",1992
43831,"Oman",116,"AFC",1992
43862,"Guinea-Bissau",117,"CAF",1992
43917,"St. Lucia",118,"CONCACAF",1992
43814,"Hong Kong",119,"AFC",1992
43914,"Panama",120,"CONCACAF",1992
43905,"Grenada",121,"CONCACAF",1992
43915,"Puerto Rico",122,"CONCACAF",1992
43981,"Tahiti",123,"OFC",1992
43883,"South Africa",124,"CAF",1992
43931,"Venezuela",125,"CONMEBOL",1992
43966,"San Marino",126,"UEFA",1992
43845,"Benin",127,"CAF",1992
43907,"Guyana",128,"CONCACAF",1992
43973,"Ukraine",129,"UEFA",1992
43908,"Haiti",130,"CONCACAF",1992
43968,"Slovenia",131,"UEFA",1992
43943,"Estonia",132,"UEFA",1992
43809,"Bangladesh",133,"AFC",1992
43870,"Mauritania",134,"CAF",1992
43850,"Cape Verde Islands",135,"CAF",1992
43980,"Solomon Islands",136,"OFC",1992
43866,"Libya",137,"CAF",1992
43846,"Botswana",139,"CAF",1992
43810,"Brunei Darussalam",140,"AFC",1992
43903,"Dominican Republic",141,"CONCACAF",1992
43864,"Lesotho",142,"CAF",1992
43815,"India",143,"AFC",1992
43902,"Cuba",144,"CONCACAF",1992
43832,"Pakistan",145,"AFC",1992
43937,"Belarus",146,"UEFA",1992
43880,"Seychelles",147,"CAF",1992
43851,"Central African Republic",148,"CAF",1992
43830,"Nepal",149,"AFC",1992
43859,"Gambia",150,"CAF",1992
43856,"Equatorial Guinea",151,"CAF",1992
43829,"Myanmar",152,"AFC",1992
43956,"Liechtenstein",153,"UEFA",1992
43913,"Nicaragua",154,"CONCACAF",1992
43852,"Chad",155,"CAF",1992
43813,"Chinese Taipei",156,"AFC",1992
43833,"Philippines",157,"AFC",1992
43874,"Namibia",158,"CAF",1992
43982,"Vanuatu",159,"OFC",1992
43894,"Aruba",160,"CONCACAF",1992
43825,"Lebanon",161,"AFC",1992
43895,"Bahamas",162,"CONCACAF",1992
43828,"Maldives",163,"AFC",1992
43877,"Rwanda",163,"CAF",1992
43882,"Somalia",163,"CAF",1992
